NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,RATING,VOTES,Latitude,Longitude
Hotel Gulmohar,600,"['North Indian', 'Chinese']",Nagpur,Manish Nagar,https://www.zomato.com/nagpur/hotel-gulmohar-manish-nagar/info,Casual Dining,3.5,23.0,,
Henry's Cafe,500,"['North Indian', 'Fast Food']",Delhi NCR,Khanpur,https://www.zomato.com/ncr/henrys-cafe-khanpur-new-delhi/info,Quick Bites,2.7,23.0,28.5081517236,77.2322224081
Chitwan Fine Dine Garden Restaurant,400,['North Indian'],Bhopal,Hoshangabad Road,https://www.zomato.com/bhopal/chitwan-fine-dine-garden-restaurant-hoshangabad-road/info,Quick Bites,3.0,11.0,23.1681500000,77.4427250000
Hotel Malvani Tadka,500,"['Chinese', 'Malwani']",Mumbai,Parel,https://www.zomato.com/mumbai/hotel-malvani-tadka-parel/info,Quick Bites,0.0,0.0,,
Lounge Terminal,1500,"['Chinese', 'Goan']",Goa,Caculo Mall-- Panaji,https://www.zomato.com/goa/lounge-terminal-panaji/info,Lounge,4.1,83.0,15.4865492264,73.8177143410
McDonald's,500,"['Burger', 'Fast Food']",Amritsar,The Celebration Mall-- Basant Nagar,https://www.zomato.com/amritsar/mcdonalds-basant-nagar/info,Quick Bites,4.0,257.0,,
Sairaj Rolls House,200,"['Fast Food', 'Rolls']",Pune,Balewadi,https://www.zomato.com/pune/sairaj-rolls-house-balewadi/info,Quick Bites,3.5,20.0,,
Food Step,400,['Chinese'],Kolkata,New Town,https://www.zomato.com/kolkata/food-step-new-town/info,Unknown,3.4,15.0,22.5805651527,88.4446801990
Smoky Sports Lounge,1300,"['North Indian', 'Chinese']",Pune,Akurdi,https://www.zomato.com/pune/smoky-sports-lounge-akurdi/info,Lounge,0.0,0.0,18.6529130667,73.7823812664
On The Grill,300,"['Italian', 'Sandwich', 'Burger', 'Desserts']",Pune,Balewadi,https://www.zomato.com/pune/on-the-grill-1-balewadi/info,Quick Bites,3.0,4.0,18.5751702346,73.7674534321
Vaibhava,250,['South Indian'],Manipal,Eshwar Nagar,https://www.zomato.com/manipal/vaibhava-eshwar-nagar/info,Food Court,3.6,26.0,13.3532745088,74.7859602794
Annapurna Rasoi,250,"['North Indian', 'Fast Food', 'Chinese']",Delhi NCR,Sector 50-- Gurgaon,https://www.zomato.com/ncr/annapurna-rasoi-sector-50-gurgaon/info,Unknown,0.0,0.0,,
Royal Multi Cuisine Restaurant & Bar,800,"['South Indian', 'Chinese', 'North Indian']",Dehradun,Karanpur,https://www.zomato.com/dehradun/royal-multi-cuisine-restaurant-bar-karanpur/info,Casual Dining,0.0,0.0,30.3334266910,78.0072345614
Armani Kg Biryani,200,['Biryani'],Delhi NCR,MG Road-- Gurgaon,https://www.zomato.com/ncr/armani-kg-biryani-mg-road-gurgaon/info,Quick Bites,0.0,0.0,,
Odeya Restaurant,400,['Fast Food'],Manipal,Maruthi Veethika,https://www.zomato.com/manipal/odeya-restaurant-maruthi-veethika/info,Quick Bites,3.3,21.0,13.3439570680,74.7502781823
Maratha Mejwaani,750,['Maharashtrian'],Pune,Mundhwa,https://www.zomato.com/pune/maratha-mejwaani-1-mundhwa/info,Casual Dining,3.7,51.0,18.5320868629,73.9164052159
Pizza 96,500,"['Pizza', 'Desserts']",Delhi NCR,Sainik Farms,https://www.zomato.com/ncr/pizza-96-sainik-farms-new-delhi/info,Quick Bites,3.8,296.0,28.5100390657,77.2013357654
Shaan Chinese Corner,450,"['Chinese', 'Seafood']",Mumbai,Fort,https://www.zomato.com/mumbai/shaan-chinese-corner-fort/info,Quick Bites,3.8,278.0,,
D Destino,400,"['Beverages', 'Chinese', 'Burger', 'Arabian', 'Desserts', 'Pizza', 'Sandwich', 'Ice Cream']",Hyderabad,Dilsukhnagar,https://www.zomato.com/hyderabad/d-destino-dilsukhnagar/info,Casual Dining,3.7,296.0,17.3695761968,78.5202486813
Nala Idly Shop,200,['South Indian'],Chennai,Kanchipuram District,https://www.zomato.com/chennai/nala-idly-shop-kanchipuram-district/info,Unknown,0.0,0.0,,
Hotel The Pride,400,['North Indian'],Patna,Golambar,https://www.zomato.com/patna/hotel-the-pride-golambar/info,Unknown,0.0,0.0,,
Sri Sai Durga Tiffins,300,['South Indian'],Visakhapatnam,Madhurawada,https://www.zomato.com/visakhapatnam/sri-sai-durga-tiffins-madhurawada-vizag/info,Quick Bites,3.6,82.0,17.8046430000,83.3428220000
Lovely Fast Food,300,"['Street Food', 'Chinese']",Hyderabad,Alwal,https://www.zomato.com/hyderabad/lovely-fast-food-alwal-secunderabad/info,Quick Bites,3.0,16.0,17.5092074612,78.5075953603
The Kanteen,200,['Fast Food'],Chennai,Navallur,https://www.zomato.com/chennai/the-kanteen-navallur/info,Unknown,3.2,9.0,,
Ganesh Chat Bhandar,100,"['Street Food', 'Chinese']",Varanasi,Mahmoorganj,https://www.zomato.com/varanasi/ganesh-chat-bhandar-mahmoorganj/info,Quick Bites,3.4,50.0,25.3059814474,82.9856462404
Bikano Cafe,300,"['North Indian', 'South Indian', 'Sandwich', 'Pizza']",Delhi NCR,Huda City Centre Metro Station-- Sector 29-- Gurgaon,https://www.zomato.com/ncr/bikano-cafe-sector-29-gurgaon/info,Quick Bites,2.6,23.0,28.4595512078,77.0727794990
Royal Family Restaurant & Cafe,450,"['North Indian', 'Fast Food']",Jaipur,Tonk Road,https://www.zomato.com/jaipur/royal-family-restaurant-cafe-tonk-road/info,Quick Bites,0.0,0.0,,
House of Flavours,700,"['Continental', 'North Indian', 'Chinese', 'Mughlai', 'Thai']",Delhi NCR,Sector 50-- Gurgaon,https://www.zomato.com/ncr/house-of-flavours-sector-50-gurgaon/info,Unknown,3.0,10.0,28.4253786671,77.0571861416
Majaama Gujarati Foods,300,['Gujarati'],Nagpur,Nandanvan,https://www.zomato.com/nagpur/majaama-gujarati-foods-nandanvan/info,Quick Bites,0.0,0.0,21.1378873831,79.0588198230
Tea Cozy,300,"['Cafe', 'Fast Food']",Pune,Salunkhe Vihar Road,https://www.zomato.com/pune/tea-cozy-salunkhe-vihar-road/info,Café,2.9,34.0,18.4811519273,73.9013187960
Excellent Food Point,400,"['North Indian', 'Chinese']",Delhi NCR,Sector 15-- Dwarka,https://www.zomato.com/ncr/excellent-food-point-sector-15-dwarka-new-delhi/info,Quick Bites,0.0,0.0,,
Raju Pav Bhaji Counter,350,['Fast Food'],Mumbai,Kandivali West,https://www.zomato.com/mumbai/raju-pav-bhaji-counter-kandivali-west/info,Quick Bites,3.5,26.0,,
Ocean Cafe,500,"['Cafe', 'Burger', 'Chinese', 'Continental', 'Fast Food', 'North Indian', 'Sandwich']",Bhopal,Gulmohar Colony,https://www.zomato.com/bhopal/ocean-cafe-1-gulmohar-colony/info,Café,3.6,74.0,23.1829687965,77.4380202591
Fork N Cork,700,"['Chinese', 'North Indian', 'Biryani', 'Beverages', 'Desserts']",Ranchi,Kanka,https://www.zomato.com/ranchi/fork-n-cork-kanka/info,Casual Dining,4.3,244.0,,
Oho Parathas,400,"['North Indian', 'Fast Food']",Mumbai,Jogeshwari,https://www.zomato.com/mumbai/oho-parathas-jogeshwari/info,Unknown,0.0,0.0,19.1441407137,72.8319126740
Dhaba 71,300,['North Indian'],Chandigarh,Sector 70-- Mohali,https://www.zomato.com/chandigarh/dhaba-71-sector-70-mohali/info,Dhaba,3.3,59.0,30.6992828239,76.7105894163
New Herbs And Spices,200,['South Indian'],Kolkata,Thakur Pukur,https://www.zomato.com/kolkata/new-herbs-and-spices-thakur-pukur/info,Quick Bites,2.9,4.0,,
Naivedya,500,['North Indian'],Aurangabad,CIDCO,https://www.zomato.com/aurangabad/naivedya-cidco/info,Casual Dining,4.2,281.0,19.8740479015,75.3680163994
Pratap Nonveg Point,250,['Fast Food'],Kota,Talwandi,https://www.zomato.com/kota/pratap-nonveg-point-talwandi/info,Kiosk,0.0,0.0,,
Mr & Mrs Cafe,300,['Fast Food'],Dehradun,Morowala,https://www.zomato.com/dehradun/mr-mrs-cafe-morowala/info,Quick Bites,3.2,20.0,30.2883152971,77.9996406287
FatJar Pizzeria,350,"['Italian', 'Pizza', 'Fast Food']",Delhi NCR,Kailash Colony,https://www.zomato.com/ncr/fatjar-pizzeria-kailash-colony-new-delhi/info,Unknown,0.0,0.0,,
Al Shez,400,['North Indian'],Ahmedabad,Sarkhej,https://www.zomato.com/ahmedabad/al-shez-sarkhej/info,Unknown,0.0,0.0,,
Kay's Food Cafe,300,['North Indian'],Delhi NCR,Tilak Nagar,https://www.zomato.com/ncr/kays-food-cafe-tilak-nagar-new-delhi/info,Unknown,3.1,4.0,28.6514363025,77.0960986242
The Big Mouth,200,"['Fast Food', 'Chinese', 'Desserts']",Nagpur,Hingna T Point,https://www.zomato.com/nagpur/the-big-mouth-1-hingna-t-point/info,Food Court,3.4,14.0,21.1197192788,79.0218006447
Bigbee,100,['Bakery'],Delhi NCR,Lawrence Road,https://www.zomato.com/ncr/bigbee-lawrence-road-new-delhi/info,Bakery,3.3,15.0,28.6917232169,77.1579758450
Laziz Tandoori,500,"['Mughlai', 'Biryani']",Patna,Fraser Road Area,https://www.zomato.com/patna/laziz-tandoori-1-fraser-road-area/info,Quick Bites,3.6,59.0,25.6109245889,85.1378869638
Sevva Lounge & Restaurant,1000,"['North Indian', 'Chinese', 'Mexican', 'Mughlai', 'Italian']",Kota,RPS Colony,https://www.zomato.com/kota/sevva-lounge-restaurant-rps-colony/info,Bar,3.5,57.0,25.1681298815,75.8480292186
Simply South,200,['South Indian'],Nagpur,Sadar,https://www.zomato.com/nagpur/simply-south-sadar/info,Quick Bites,3.5,571.0,21.1683169536,79.0905174986
Gokul Pure Veg,600,"['North Indian', 'South Indian', 'Fast Food']",Pune,Kondhwa,https://www.zomato.com/pune/gokul-pure-veg-kondhwa/info,Casual Dining,3.9,408.0,,
Rudra Ice Cream and Snacks,200,"['Fast Food', 'Desserts', 'Ice Cream']",Nashik,Veer Sawarkar Nagar,https://www.zomato.com/nashik/rudra-ice-cream-and-snacks-veer-sawarkar-nagar/info,Quick Bites,0.0,0.0,20.0148480077,73.7543136254
Anna's Kitchen,250,"['South Indian', 'Fast Food']",Chandigarh,Dhakoli,https://www.zomato.com/chandigarh/annas-kitchen-dhakoli-zirakpur/info,Unknown,3.2,10.0,30.6574347933,76.8385884538
Le Sugar Rush,600,['Bakery'],Pune,Bibvewadi,https://www.zomato.com/pune/le-sugar-rush-bibvewadi/info,Bakery,0.0,0.0,,
Hotel Junior Kuppanna,550,"['Chettinad', 'South Indian']",Bengaluru,HSR,https://www.zomato.com/bangalore/hotel-junior-kuppanna-hsr/info,Casual Dining,3.2,280.0,12.9133840984,77.6352558285
The Shawarma Shack,200,['Arabian'],Hyderabad,The Hangout Village,https://www.zomato.com/hyderabad/the-shawarma-shack-l-b-nagar/info,Quick Bites,3.0,423.0,17.3402188605,78.5440774262
The Budapest Bakehouse,350,"['Desserts', 'Fast Food']",Mumbai,Khar,https://www.zomato.com/mumbai/the-budapest-bakehouse-khar/info,Dessert Parlor,4.1,1012.0,,
Chef Fast Food,300,"['Fast Food', 'North Indian', 'South Indian']",Bengaluru,Old Airport Road,https://www.zomato.com/bangalore/chef-fast-food-airport-road-bangalore/info,Quick Bites,3.1,27.0,12.9654974958,77.6492800936
Mahesh Fine Dine,700,"['North Indian', 'Mughlai', 'Malwani', 'Chinese']",Mumbai,Kandivali West,https://www.zomato.com/mumbai/mahesh-fine-dine-kandivali-west/info,Casual Dining,3.2,44.0,19.2030392684,72.8340232372
Zero Degree Ice Cream Parlour,150,"['Ice Cream', 'Desserts']",Mumbai,Vikhroli,https://www.zomato.com/mumbai/zero-degree-ice-cream-parlour-vikhroli/info,Dessert Parlor,2.9,9.0,19.1109347631,72.9258198291
Snow Station Ice-Cream,250,"['Ice Cream', 'Desserts']",Mumbai,Bhayandar,https://www.zomato.com/mumbai/snow-station-ice-cream-bhayandar/info,Dessert Parlor,3.5,17.0,19.2946941473,72.8474936262
Singh Punjabi Zaika,200,['North Indian'],Delhi NCR,Jail Road,https://www.zomato.com/ncr/singh-punjabi-zaika-1-jail-road-new-delhi/info,Dhaba,3.2,8.0,28.6254355776,77.1109533682
The Kathi Spot,300,"['North Indian', 'Indian']",Jamshedpur,Bistupur,https://www.zomato.com/jamshedpur/the-kathi-spot-bistupur/info,Casual Dining,3.5,46.0,22.8036448706,86.1773264408
Biryani Treats,650,['Biryani'],Bengaluru,Kalyan Nagar,https://www.zomato.com/bangalore/biryani-treats-kalyan-nagar/info,Unknown,2.6,45.0,13.0183891914,77.6545647159
Mag Foods,300,"['North Indian', 'Gujarati']",Ahmedabad,Kankaria,https://www.zomato.com/ahmedabad/mag-foods-kankaria/info,Unknown,3.2,12.0,23.0087695412,72.5969763100
Swad Pavbhaji & Snacks Centre,200,"['Fast Food', 'Street Food']",Pune,Rasta Peth,https://www.zomato.com/pune/swad-pavbhaji-snacks-centre-rasta-peth/info,Quick Bites,0.0,0.0,,
Master Of Kebab,450,"['Kebab', 'Arabian', 'Afghan']",Bengaluru,Whitefield,https://www.zomato.com/bangalore/master-of-kebab-whitefield-bangalore/info,Quick Bites,0.0,0.0,12.9557100000,77.7203490000
Mmmelt,500,"['Cafe', 'Pizza', 'Fast Food']",Delhi NCR,Sector 132-- Noida,https://www.zomato.com/ncr/mmmelt-sector-132-noida/info,Café,3.9,66.0,28.5516190000,77.3551180000
JD Food Corner,500,['North Indian'],Delhi NCR,Narela,https://www.zomato.com/ncr/jd-food-corner-narela-new-delhi/info,Quick Bites,0.0,0.0,,
Riwaayat,900,"['North Indian', 'Mughlai', 'Kebab', 'Seafood', 'Chinese', 'Biryani']",Pune,Chinchwad,https://www.zomato.com/pune/riwaayat-chinchwad/info,Casual Dining,3.6,342.0,,
Monginis,350,"['Bakery', 'Desserts']",Aurangabad,MIDC,https://www.zomato.com/aurangabad/monginis-midc/info,Bakery,3.1,11.0,19.8613322884,75.3119589016
The Jaika Junction,350,['Fast Food'],Jaipur,Mansarovar,https://www.zomato.com/jaipur/the-jaika-junction-mansarovar/info,Quick Bites,0.0,0.0,26.8445820192,75.7721800357
Udipi Shri Krishna,550,"['Chinese', 'North Indian', 'South Indian', 'Street Food', 'Beverages']",Mumbai,Kamala Mills Compound,https://www.zomato.com/mumbai/udipi-shri-krishna-lower-parel/info,Casual Dining,3.5,92.0,19.0021341056,72.8293974325
Cafe Plan B,400,['Continental'],Kochi,Kakkanad,https://www.zomato.com/kochi/cafe-plan-b-2-kakkanad/info,Quick Bites,0.0,0.0,,
Keerai Kadai,200,['Healthy Food'],Coimbatore,Saibaba Colony,https://www.zomato.com/coimbatore/keerai-kadai-saibaba-colony/info,Quick Bites,0.0,0.0,,
Sagar Baker's,150,['Bakery'],Nagpur,Nandanvan,https://www.zomato.com/nagpur/sagar-bakers-nandanvan/info,Bakery,0.0,0.0,21.1209518430,79.1431330517
Hotel Suprabha,500,"['North Indian', 'South Indian', 'Chinese', 'Fast Food', 'Beverages']",Mumbai,Dadar East,https://www.zomato.com/mumbai/hotel-suprabha-dadar-east/info,Casual Dining,3.4,33.0,19.0160513434,72.8438961133
Aamblee Restaurant,500,"['North Indian', 'Chinese', 'Fast Food']",Jaipur,Sikar Road,https://www.zomato.com/jaipur/aamblee-restaurant-sikar-road/info,Casual Dining,0.0,0.0,,
Rustic Door,1500,"['Italian', 'North Indian', 'Continental', 'Cafe']",Chandigarh,Sector 10-- Chandigarh,https://www.zomato.com/chandigarh/rustic-door-sector-10/info,Casual Dining,4.0,614.0,30.7547531934,76.7873616144
Ruche Foods,100,['South Indian'],Hyderabad,A S Rao Nagar,https://www.zomato.com/hyderabad/ruche-foods-as-rao-nagar-secunderabad/info,Quick Bites,3.1,27.0,17.4771524000,78.5558688000
Arzak,300,"['Arabian', 'Middle Eastern', 'Rolls', 'Seafood', 'BBQ']",Bengaluru,Whitefield,https://www.zomato.com/bangalore/arzak-1-whitefield-bangalore/info,Unknown,0.0,0.0,12.9941440000,77.6994080000
Maa Vaishnavi Kitchen,300,['Indian'],Nagpur,Gandhibagh,https://www.zomato.com/nagpur/maa-vaishnavi-kitchen-gandhibagh/info,Quick Bites,0.0,0.0,21.1427122177,79.1063760594
The Egypt Cafe And Restro,500,"['Chinese', 'Italian']",Bhopal,Arera Colony,https://www.zomato.com/bhopal/the-egypt-cafe-and-restro-arera-colony/info,Quick Bites,3.3,40.0,23.2145480000,77.4293184000
Al-Rousha,400,"['Mughlai', 'Chinese']",Bengaluru,Sahakara Nagar,https://www.zomato.com/bangalore/al-rousha-sahakara-nagar-bangalore/info,Quick Bites,0.0,0.0,,
MH20,500,['North Indian'],Aurangabad,Gadia Vihar,https://www.zomato.com/aurangabad/mh20-gadia-vihar/info,Casual Dining,2.3,59.0,19.8498805533,75.3359163925
Petoo,350,"['North Indian', 'Continental', 'Chinese', 'Burger']",Kanpur,Kakadeo,https://www.zomato.com/kanpur/petoo-kakadeo/info,Quick Bites,2.3,76.0,26.4780096270,80.2946060523
Season 3,300,"['North Indian', 'Gujarati']",Rajkot,Nana Mava,https://www.zomato.com/rajkot/season-3-nana-mava/info,Quick Bites,2.3,11.0,22.2722260000,70.7718880000
Cafe Creme,300,"['Cafe', 'Desserts']",Aurangabad,Ulkanagari,https://www.zomato.com/aurangabad/cafe-creme-ulkanagari/info,Café,2.3,17.0,19.8638373000,75.3439710000
Subway,500,"['Salad', 'Fast Food', 'Sandwich', 'Healthy Food']",Bengaluru,Indiranagar,https://www.zomato.com/bangalore/subway-indiranagar/info,Quick Bites,2.3,264.0,12.9637047307,77.6406199113
Hot Chips,700,"['South Indian', 'North Indian', 'Chinese']",Chennai,Velachery,https://www.zomato.com/chennai/hot-chips-velachery/info,Quick Bites,2.2,227.0,12.9823567623,80.2218222991
Zaika,800,"['North Indian', 'Mughlai', 'Kebab', 'Biryani', 'Afghan']",Mumbai,Mulund West,https://www.zomato.com/mumbai/zaika-mulund-west/info,Unknown,2.2,63.0,19.1575842658,72.9360977188
Grandma's Kitchen,400,"['North Indian', 'South Indian']",Delhi NCR,DLF Phase 3,https://www.zomato.com/ncr/grandmas-kitchen-dlf-phase-3-gurgaon/info,Quick Bites,2.2,127.0,,
Drinks at MRP,1200,"['North Indian', 'Chinese', 'Mughlai', 'Momos']",Delhi NCR,V3S Mall-- Laxmi Nagar,https://www.zomato.com/ncr/drinks-at-mrp-laxmi-nagar-new-delhi/info,Casual Dining,2.2,52.0,,
The Treat,500,"['North Indian', 'Mughlai', 'Chinese']",Delhi NCR,Chanakyapuri,https://www.zomato.com/ncr/the-treat-chanakyapuri-new-delhi/info,Quick Bites,2.2,234.0,28.5928237558,77.1788752824
Food.com,450,"['North Indian', 'South Indian', 'Chinese']",Guwahati,Six Mile,https://www.zomato.com/guwahati/food-com-six-mile/info,Quick Bites,2.2,147.0,,
Shobha,500,"['North Indian', 'South Indian']",Mumbai,Breach Candy,https://www.zomato.com/mumbai/shobha-breach-candy/info,Quick Bites,2.2,47.0,18.9760707064,72.8073798493
Southeye,300,['South Indian'],Delhi NCR,Ashok Vihar Phase 2,https://www.zomato.com/ncr/southeye-2-ashok-vihar-phase-2-new-delhi/info,Quick Bites,2.2,58.0,,
Punjabi Tadka,700,"['North Indian', 'Chinese']",Hyderabad,Kondapur,https://www.zomato.com/hyderabad/punjabi-tadka-kondapur/info,Casual Dining,2.1,580.0,17.4605281698,78.3663488925
Brown Sugar Cafe,400,"['Cafe', 'Bakery']",Bhopal,Gulmohar Colony,https://www.zomato.com/bhopal/brown-sugar-cafe-gulmohar-colony/info,Café,2.1,74.0,23.1884602517,77.4334092066
Ibrahim's,500,"['Mughlai', 'Lucknowi', 'Biryani']",Mumbai,Malad West,https://www.zomato.com/mumbai/ibrahims-malad-west/info,Quick Bites,2.1,140.0,19.1441098000,72.8366762000
Courtallam Border Parotta,950,"['North Indian', 'Chettinad', 'Biryani', 'South Indian', 'Chinese', 'Italian']",Chennai,Velachery,https://www.zomato.com/chennai/courtallam-border-parotta-velachery/info,Casual Dining,2.1,240.0,12.9847956123,80.2178157493
Wonders of Kashmir - Khyen Chyen,700,"['Kashmiri', 'Biryani', 'Kebab']",Delhi NCR,Select Citywalk Mall-- Saket,https://www.zomato.com/ncr/wonders-of-kashmir-khyen-chyen-saket-new-delhi/info,Food Court,2.1,67.0,28.5293831116,77.2194550931
Super Bakery,150,"['Bakery', 'Fast Food']",Delhi NCR,DLF Galleria-- DLF Phase 4,https://www.zomato.com/ncr/super-bakery-dlf-phase-4-gurgaon/info,Bakery,2.1,24.0,28.4669903751,77.0821078867
Chinese Garden Restaurant,550,"['Chinese', 'Seafood']",Mumbai,Dadar Shivaji Park,https://www.zomato.com/mumbai/chinese-garden-restaurant-dadar-shivaji-park/info,Casual Dining,1.8,133.0,19.0246520348,72.8353971988
